Zip Code,2017 (Total),2018 (Total),2019 (Total)
60601,0,1,1
60602,0,4,1
60603,0,1,3
60604,0,0,0
60605,0,1,3
60606,0,0,0
60607,8,7,3
60608,13,24,12
60609,12,20,19
60610,3,2,2
60611,0,1,0
60612,11,13,15
60613,2,13,6
60614,5,8,2
60615,4,10,12
60616,9,14,7
60617,10,17,22
60618,9,20,3
60619,16,10,20
60620,6,23,36
60621,6,7,9
60622,12,28,13
60623,20,30,20
60624,13,16,16
60625,10,12,4
60626,3,4,3
60627,0,0,0
60628,7,12,28
60629,38,30,30
60630,0,4,1
60631,5,6,0
60632,0,22,13
60633,12,7,0
60634,7,14,0
60635,0,1,1
60636,8,8,14
60637,16,14,14
60638,6,17,12
60639,10,19,4
60640,5,9,2
60641,6,9,3
60642,5,1,4
60643,10,8,19
60644,9,17,3
60645,6,8,1
60646,0,4,0
60647,18,19,2
60648,0,1,2
60649,8,8,9
60650,0,1,0
60651,5,12,4
60652,6,4,14
60653,5,6,6
60654,0,2,0
60655,2,4,6
60656,0,1,0
60657,2,10,0
60659,7,8,1
60660,3,2,2
60661,0,0,0
60664,0,0,0
60666,0,0,0
60667,0,1,0
60668,0,0,0
60669,0,0,0
60670,0,0,0
60673,0,0,1
60674,0,0,0
60675,0,0,0
60677,0,0,0
60678,0,0,0
60680,0,0,0
60681,0,0,0
60682,0,0,0
60684,0,0,0
60685,0,0,0
60686,0,0,0
60687,0,0,0
60688,0,0,0
60689,0,0,0
60690,0,0,0
60691,0,0,0
60693,0,0,0
60694,0,0,0
60695,0,0,0
60696,0,0,0
60697,0,1,0
60699,0,0,0
60701,0,0,0
60706,0,0,0
60707,1,1,1
60803,0,1,0
60804,1,1,0
60805,0,0,0
60807,0,0,1
60819,0,0,1
60827,5,5,6
60831,0,0,2
61301,0,0,1
61350,0,0,1
Outside,7,10,15
Total,392,594,456
